,Industry,Job Title,Responsibilities,Skills,base_location,job_level,salary,salary_mid,jd_id,jd_text,edu_req,exp_req,working_hours
0,Retail,Visual Merchandiser,Conduct A/B testing on store planograms to maximize conversion.,"Visual Merchandising, Space Planning, Data Analysis",Shanghai,Junior,9k-11k/月,10.0,JD_0000,"Visual Merchandiser | Retail | Shanghai | Level: Junior | Salary: 9k-11k/月. Conduct A/B testing on store planograms to maximize conversion. Skills: Visual Merchandising, Space Planning, Data Analysis",Bachelor's,0-1年,45-50
955,Gaming,Anti-Cheat Engineer,Analyze telemetry data for statistically impossible reaction times.,"Reverse Engineering, Cybersecurity",Xi'an,VP,49k-59k/月,54.0,JD_0955,"Anti-Cheat Engineer | Gaming | Xi'an | Level: VP | Salary: 49k-59k/月. Analyze telemetry data for statistically impossible reaction times. Skills: Reverse Engineering, Cybersecurity",Master's,10年以上,50-60
956,Logistics,Supply Chain Security,Implement C-TPAT compliant security protocols for international warehouse facilities.,"Risk Assessment, Physical Security, IoT Security",Chengdu,Senior,17k-20k/月,18.5,JD_0956,"Supply Chain Security | Logistics | Chengdu | Level: Senior | Salary: 17k-20k/月. Implement C-TPAT compliant security protocols for international warehouse facilities. Skills: Risk Assessment, Physical Security, IoT Security",Bachelor's,5-10年,50-60
957,Logistics,International Trade Comp,Audit import/export documentation to ensure compliance with ITAR/EAR regulations.,Trade Compliance,Xi'an,Junior,6k-7k/月,6.5,JD_0957,International Trade Comp | Logistics | Xi'an | Level: Junior | Salary: 6k-7k/月. Audit import/export documentation to ensure compliance with ITAR/EAR regulations. Skills: Trade Compliance,Bachelor's,0年,45-50
958,Manufacturing,IIoT Integrator,Implement MQTT and OPC-UA protocols for machine-to-cloud transmission.,"MQTT/OPC-UA, Python",Changsha,Manager,22k-26k/月,24.0,JD_0958,"IIoT Integrator | Manufacturing | Changsha | Level: Manager | Salary: 22k-26k/月. Implement MQTT and OPC-UA protocols for machine-to-cloud transmission. Skills: MQTT/OPC-UA, Python",Bachelor's,10年以上,<40
959,E-Commerce,Warehouse Automation Dev,Develop real-time dashboards to monitor equipment OEE and throughput bottlenecks.,"ROS, Warehouse Management Systems, C++",Chengdu,Senior,19k-23k/月,21.0,JD_0959,"Warehouse Automation Dev | E-Commerce | Chengdu | Level: Senior | Salary: 19k-23k/月. Develop real-time dashboards to monitor equipment OEE and throughput bottlenecks. Skills: ROS, Warehouse Management Systems, C++",Bachelor's,10年以上,40-45
960,Logistics,Warehouse Sys Analyst,Configure and optimize WMS for complex put-away and picking logic.,"SQL, Process Optimization, EDI",Guangzhou,Senior,20k-24k/月,22.0,JD_0960,"Warehouse Sys Analyst | Logistics | Guangzhou | Level: Senior | Salary: 20k-24k/月. Configure and optimize WMS for complex put-away and picking logic. Skills: SQL, Process Optimization, EDI",Master's,5-10年,45-50
961,Education Technology,Student Success Analyst,Analyze cohort progression to evaluate effectiveness of academic advising interventions.,"Predictive Modeling, Data Visualization, Python",Chengdu,Senior,15k-18k/月,16.5,JD_0961,"Student Success Analyst | Education Technology | Chengdu | Level: Senior | Salary: 15k-18k/月. Analyze cohort progression to evaluate effectiveness of academic advising interventions. Skills: Predictive Modeling, Data Visualization, Python",Master's,5-10年,45-50
962,Real Estate,Investment Analyst,Perform financial due diligence on multi-family assets.,"Underwriting, Due Diligence, Excel",Suzhou,Senior,24k-29k/月,26.5,JD_0962,"Investment Analyst | Real Estate | Suzhou | Level: Senior | Salary: 24k-29k/月. Perform financial due diligence on multi-family assets. Skills: Underwriting, Due Diligence, Excel",Bachelor's,1-3年,50-60
963,Gaming,Behavior Researcher,Utilize NLP on chat logs to identify toxicity and improve moderation.,"Machine Learning, Psychometrics, SQL",Shenzhen,Junior,13k-16k/月,14.5,JD_0963,"Behavior Researcher | Gaming | Shenzhen | Level: Junior | Salary: 13k-16k/月. Utilize NLP on chat logs to identify toxicity and improve moderation. Skills: Machine Learning, Psychometrics, SQL",Master's,1-3年,45-50
964,Retail,Visual Merchandiser,Correlate display changes with product-level sales lift.,"Visual Merchandising, Space Planning, A/B Testing",Changsha,Lead,14k-17k/月,15.5,JD_0964,"Visual Merchandiser | Retail | Changsha | Level: Lead | Salary: 14k-17k/月. Correlate display changes with product-level sales lift. Skills: Visual Merchandising, Space Planning, A/B Testing",Ph.D.,5-10年,>60
965,Retail,Shopper Insights,Present trend reports to leadership to inform seasonal buying.,"Qualitative Research, Market Research, Survey Design, SPSS",Xi'an,Junior,6k-8k/月,7.0,JD_0965,"Shopper Insights | Retail | Xi'an | Level: Junior | Salary: 6k-8k/月. Present trend reports to leadership to inform seasonal buying. Skills: Qualitative Research, Market Research, Survey Design, SPSS",Master's,1-3年,40-45
966,Telecom,Telco Cyber Specialist,Deploy DDoS mitigation strategies for core routing infra.,"Signaling Security, Network Security",Xi'an,Lead,16k-20k/月,18.0,JD_0966,"Telco Cyber Specialist | Telecom | Xi'an | Level: Lead | Salary: 16k-20k/月. Deploy DDoS mitigation strategies for core routing infra. Skills: Signaling Security, Network Security",Bachelor's,5-10年,50-60
967,Retail,Shopper Insights,Design ethnographic studies to understand shopper behavior.,"Qualitative Research, Market Research, Survey Design, Data Visualization",Hangzhou,Manager,26k-31k/月,28.5,JD_0967,"Shopper Insights | Retail | Hangzhou | Level: Manager | Salary: 26k-31k/月. Design ethnographic studies to understand shopper behavior. Skills: Qualitative Research, Market Research, Survey Design, Data Visualization",Bachelor's,10年以上,50-60
968,E-Commerce,Digital Marketer,Analyze ROAS and perform multi-touch attribution modeling using data-driven approaches.,"Google Ads, SEO/SEM, Digital Marketing, Data Analysis",Zhengzhou,Senior,20k-24k/月,22.0,JD_0968,"Digital Marketer | E-Commerce | Zhengzhou | Level: Senior | Salary: 20k-24k/月. Analyze ROAS and perform multi-touch attribution modeling using data-driven approaches. Skills: Google Ads, SEO/SEM, Digital Marketing, Data Analysis",Bachelor's,5-10年,<40
969,Retail,Visual Merchandiser,Analyze foot-traffic heatmaps to optimize store layout design.,"Visual Merchandising, Space Planning, A/B Testing, Excel",Beijing,Senior,16k-19k/月,17.5,JD_0969,"Visual Merchandiser | Retail | Beijing | Level: Senior | Salary: 16k-19k/月. Analyze foot-traffic heatmaps to optimize store layout design. Skills: Visual Merchandising, Space Planning, A/B Testing, Excel",Master's,5-10年,45-50
970,Retail,Category Manager,Analyze POS data to optimize product assortment and shelf space.,"Pricing Strategy, Data Analysis, Negotiation",Hangzhou,Mid-level,11k-14k/月,12.5,JD_0970,"Category Manager | Retail | Hangzhou | Level: Mid-level | Salary: 11k-14k/月. Analyze POS data to optimize product assortment and shelf space. Skills: Pricing Strategy, Data Analysis, Negotiation",Bachelor's,3-5年,45-50
971,Real Estate,GIS Specialist (RE),Maintain the integrity of spatial databases for land parcels.,"GIS (ArcGIS/QGIS), Cartography",Chengdu,Director,33k-41k/月,37.0,JD_0971,"GIS Specialist (RE) | Real Estate | Chengdu | Level: Director | Salary: 33k-41k/月. Maintain the integrity of spatial databases for land parcels. Skills: GIS (ArcGIS/QGIS), Cartography",Master's,5-10年,50-60
972,Logistics,Last-Mile Delivery Spec,Design crowdsourced delivery models to handle peak seasonal volume.,"Logistics Planning, Urban Logistics, Data Analysis, Vendor Management",Wuhan,Lead,21k-26k/月,23.5,JD_0972,"Last-Mile Delivery Spec | Logistics | Wuhan | Level: Lead | Salary: 21k-26k/月. Design crowdsourced delivery models to handle peak seasonal volume. Skills: Logistics Planning, Urban Logistics, Data Analysis, Vendor Management",Bachelor's,3-5年,40-45
973,Energy,HSE Compliance Lead,Conduct HAZOP (Hazard and Operability) studies for facilities.,"Health & Safety Regulations, Risk Assessment (HAZOP), Auditing, Environmental Comp",Wuhan,Mid-level,21k-25k/月,23.0,JD_0973,"HSE Compliance Lead | Energy | Wuhan | Level: Mid-level | Salary: 21k-25k/月. Conduct HAZOP (Hazard and Operability) studies for facilities. Skills: Health & Safety Regulations, Risk Assessment (HAZOP), Auditing, Environmental Comp",Ph.D.,3-5年,40-45
974,Media,Broadcast Engineer,Troubleshoot signal chain issues in real-time during live air.,Video Routing,Guangzhou,Mid-level,12k-14k/月,13.0,JD_0974,Broadcast Engineer | Media | Guangzhou | Level: Mid-level | Salary: 12k-14k/月. Troubleshoot signal chain issues in real-time during live air. Skills: Video Routing,Bachelor's,3-5年,45-50
975,E-Commerce,Catalog Manager,Utilize computer vision to automate the tagging and categorization of incoming product images.,"Data Governance, Taxonomy",Shenzhen,Mid-level,23k-29k/月,26.0,JD_0975,"Catalog Manager | E-Commerce | Shenzhen | Level: Mid-level | Salary: 23k-29k/月. Utilize computer vision to automate the tagging and categorization of incoming product images. Skills: Data Governance, Taxonomy",Master's,5-10年,<40
976,Education Technology,UX Researcher (Edu),Synthesize teacher ethnographic research into actionable personas for product teams.,Usability Testing,Shanghai,Senior,26k-32k/月,29.0,JD_0976,UX Researcher (Edu) | Education Technology | Shanghai | Level: Senior | Salary: 26k-32k/月. Synthesize teacher ethnographic research into actionable personas for product teams. Skills: Usability Testing,Bachelor's,5-10年,45-50
977,Logistics,Demand Forecaster,Develop baseline forecasts combining historical shipments with seasonal indices.,"Time Series Forecasting, S&OP Process, Excel/VBA",Xi'an,Director,22k-27k/月,24.5,JD_0977,"Demand Forecaster | Logistics | Xi'an | Level: Director | Salary: 22k-27k/月. Develop baseline forecasts combining historical shipments with seasonal indices. Skills: Time Series Forecasting, S&OP Process, Excel/VBA",Bachelor's,10年以上,>60
978,E-Commerce,Digital Marketer,Optimize SEO strategies by conducting keyword research and technical site audits.,"Google Ads, SEO/SEM, Digital Marketing, Data Analysis",Hangzhou,Lead,37k-45k/月,41.0,JD_0978,"Digital Marketer | E-Commerce | Hangzhou | Level: Lead | Salary: 37k-45k/月. Optimize SEO strategies by conducting keyword research and technical site audits. Skills: Google Ads, SEO/SEM, Digital Marketing, Data Analysis",Master's,3-5年,40-45
979,Real Estate,PropTech Product Mgr,Define requirements for online lease negotiation features.,"Product Management, Data Analysis, UX/UI",Nanjing,Mid-level,16k-19k/月,17.5,JD_0979,"PropTech Product Mgr | Real Estate | Nanjing | Level: Mid-level | Salary: 16k-19k/月. Define requirements for online lease negotiation features. Skills: Product Management, Data Analysis, UX/UI",Bachelor's,1-3年,45-50
980,Real Estate,Valuation Analyst,Draft investment memorandums for institutional capital partners.,"Argus, Real Estate Economics, Financial Modeling, Valuation, Excel",Xi'an,Manager,33k-40k/月,36.5,JD_0980,"Valuation Analyst | Real Estate | Xi'an | Level: Manager | Salary: 33k-40k/月. Draft investment memorandums for institutional capital partners. Skills: Argus, Real Estate Economics, Financial Modeling, Valuation, Excel",Master's,10年以上,50-60
981,Retail,Store Planner,Determine stock allocations for new store openings.,Data Analysis,Tianjin,Mid-level,9k-11k/月,10.0,JD_0981,Store Planner | Retail | Tianjin | Level: Mid-level | Salary: 9k-11k/月. Determine stock allocations for new store openings. Skills: Data Analysis,Master's,5-10年,40-45
982,Healthcare,Epidemiologist,Analyze public health registries to evaluate the impact of vaccination programs.,"Epidemiology, Study Design",Nanjing,Manager,27k-33k/月,30.0,JD_0982,"Epidemiologist | Healthcare | Nanjing | Level: Manager | Salary: 27k-33k/月. Analyze public health registries to evaluate the impact of vaccination programs. Skills: Epidemiology, Study Design",Bachelor's,5-10年,45-50
983,Logistics,International Trade Comp,Audit import/export documentation to ensure compliance with ITAR/EAR regulations.,"Customs Regulations, HTS Classification, Auditing",Tianjin,Mid-level,15k-18k/月,16.5,JD_0983,"International Trade Comp | Logistics | Tianjin | Level: Mid-level | Salary: 15k-18k/月. Audit import/export documentation to ensure compliance with ITAR/EAR regulations. Skills: Customs Regulations, HTS Classification, Auditing",Bachelor's,1-3年,45-50
984,E-Commerce,Personalization Specialist,Segment customer base using RFM analysis to tailor email marketing campaigns.,"Machine Learning, SQL",Xi'an,Senior,20k-24k/月,22.0,JD_0984,"Personalization Specialist | E-Commerce | Xi'an | Level: Senior | Salary: 20k-24k/月. Segment customer base using RFM analysis to tailor email marketing campaigns. Skills: Machine Learning, SQL",Master's,3-5年,40-45
985,Telecom,Signal Processing Eng,Optimize PHY layer algorithms for power and throughput.,"Signal Processing, Information Theory",Tianjin,Director,32k-39k/月,35.5,JD_0985,"Signal Processing Eng | Telecom | Tianjin | Level: Director | Salary: 32k-39k/月. Optimize PHY layer algorithms for power and throughput. Skills: Signal Processing, Information Theory",Master's,5-10年,50-60
986,Gaming,Economy Designer,Simulate loot box drop rates to balance player progression pacing.,"Economy Modeling, Game Theory, Python",Xi'an,Mid-level,23k-28k/月,25.5,JD_0986,"Economy Designer | Gaming | Xi'an | Level: Mid-level | Salary: 23k-28k/月. Simulate loot box drop rates to balance player progression pacing. Skills: Economy Modeling, Game Theory, Python",Bachelor's,5-10年,50-60
987,Logistics,Freight Forwarder,Coordinate complex multi-modal transportation routing for oversized cargo.,"Freight Forwarding, Incoterms, Negotiation, Customer Service",Hangzhou,Lead,29k-35k/月,32.0,JD_0987,"Freight Forwarder | Logistics | Hangzhou | Level: Lead | Salary: 29k-35k/月. Coordinate complex multi-modal transportation routing for oversized cargo. Skills: Freight Forwarding, Incoterms, Negotiation, Customer Service",Ph.D.,10年以上,50-60
988,E-Commerce,Catalog Manager,Resolve duplicate listings and conflicting attribute data in the MDM system.,"Data Governance, Excel",Shenzhen,VP,58k-71k/月,64.5,JD_0988,"Catalog Manager | E-Commerce | Shenzhen | Level: VP | Salary: 58k-71k/月. Resolve duplicate listings and conflicting attribute data in the MDM system. Skills: Data Governance, Excel",Master's,3-5年,>60
989,Logistics,Fleet Ops Manager,Schedule preventative maintenance for heavy-duty trucks to maximize uptime.,"Fleet Management, Telematics, Vendor Management",Suzhou,Junior,10k-12k/月,11.0,JD_0989,"Fleet Ops Manager | Logistics | Suzhou | Level: Junior | Salary: 10k-12k/月. Schedule preventative maintenance for heavy-duty trucks to maximize uptime. Skills: Fleet Management, Telematics, Vendor Management",Bachelor's,1-3年,45-50
990,Manufacturing,Smart Factory Consultant,Assess maturity of facilities to develop Industry 4.0 transformation roadmaps.,"Industry 4.0, Manufacturing Execution Systems (MES), Project Management, Change Management",Hangzhou,Junior,7k-9k/月,8.0,JD_0990,"Smart Factory Consultant | Manufacturing | Hangzhou | Level: Junior | Salary: 7k-9k/月. Assess maturity of facilities to develop Industry 4.0 transformation roadmaps. Skills: Industry 4.0, Manufacturing Execution Systems (MES), Project Management, Change Management",Bachelor's,0年,40-45
991,Real Estate,BIM Coordinator,Establish data naming standards within Autodesk Revit.,"3D Modeling, Revit",Nanjing,Lead,22k-27k/月,24.5,JD_0991,"BIM Coordinator | Real Estate | Nanjing | Level: Lead | Salary: 22k-27k/月. Establish data naming standards within Autodesk Revit. Skills: 3D Modeling, Revit",Bachelor's,5-10年,50-60
992,Manufacturing,Predictive Maint Eng,Train machine learning models on sensor data to estimate RUL.,"Signal Processing, Reliability Engineering, Python, Machine Learning",Guangzhou,Mid-level,14k-17k/月,15.5,JD_0992,"Predictive Maint Eng | Manufacturing | Guangzhou | Level: Mid-level | Salary: 14k-17k/月. Train machine learning models on sensor data to estimate RUL. Skills: Signal Processing, Reliability Engineering, Python, Machine Learning",Master's,1-3年,40-45
993,E-Commerce,Supply Chain Planner,Coordinate with overseas suppliers to mitigate lead-time variability and port congestions.,Excel,Wuhan,Junior,8k-10k/月,9.0,JD_0993,Supply Chain Planner | E-Commerce | Wuhan | Level: Junior | Salary: 8k-10k/月. Coordinate with overseas suppliers to mitigate lead-time variability and port congestions. Skills: Excel,Bachelor's,1-3年,<40
994,Media,Sound Engine Dev,Develop spatial audio algorithms for immersive VR experiences.,"Audio Programming, Wwise/FMOD",Nanjing,Senior,20k-25k/月,22.5,JD_0994,"Sound Engine Dev | Media | Nanjing | Level: Senior | Salary: 20k-25k/月. Develop spatial audio algorithms for immersive VR experiences. Skills: Audio Programming, Wwise/FMOD",Bachelor's,3-5年,50-60
995,Media,Visual Effects TD,Troubleshoot procedural simulations for fluid and cloth dynamics.,"Pipeline Development, Houdini/Maya",Xi'an,Lead,18k-22k/月,20.0,JD_0995,"Visual Effects TD | Media | Xi'an | Level: Lead | Salary: 18k-22k/月. Troubleshoot procedural simulations for fluid and cloth dynamics. Skills: Pipeline Development, Houdini/Maya",Bachelor's,1-3年,45-50
996,Media,Social Strategist,Design content calendars that optimize post timing for engagement.,"Content Strategy, Marketing, Data Analysis, Copywriting",Nanjing,Mid-level,14k-17k/月,15.5,JD_0996,"Social Strategist | Media | Nanjing | Level: Mid-level | Salary: 14k-17k/月. Design content calendars that optimize post timing for engagement. Skills: Content Strategy, Marketing, Data Analysis, Copywriting",Master's,10年以上,45-50
997,Gaming,Monetization Analyst,Analyze A/B test results on store UI layouts to maximize conversion.,"A/B Testing, SQL",Chengdu,Mid-level,23k-28k/月,25.5,JD_0997,"Monetization Analyst | Gaming | Chengdu | Level: Mid-level | Salary: 23k-28k/月. Analyze A/B test results on store UI layouts to maximize conversion. Skills: A/B Testing, SQL",Bachelor's,1-3年,50-60
998,Gaming,Behavior Researcher,Utilize NLP on chat logs to identify toxicity and improve moderation.,"Machine Learning, Psychometrics, SQL",Changsha,Manager,26k-32k/月,29.0,JD_0998,"Behavior Researcher | Gaming | Changsha | Level: Manager | Salary: 26k-32k/月. Utilize NLP on chat logs to identify toxicity and improve moderation. Skills: Machine Learning, Psychometrics, SQL",Master's,10年以上,40-45
999,Media,Interactive Producer,Manage the lifecycle of AR/VR interactive media experiences.,"AR/VR Tech, Budgeting",Nanjing,Senior,22k-27k/月,24.5,JD_0999,"Interactive Producer | Media | Nanjing | Level: Senior | Salary: 22k-27k/月. Manage the lifecycle of AR/VR interactive media experiences. Skills: AR/VR Tech, Budgeting",Master's,5-10年,50-60
1000,Education Technology,Gamification Expert,A/B test gamified UI elements to maximize completion rates of homework.,"Game Design, Behavioral Psychology",Suzhou,Manager,25k-30k/月,27.5,JD_1000,"Gamification Expert | Education Technology | Suzhou | Level: Manager | Salary: 25k-30k/月. A/B test gamified UI elements to maximize completion rates of homework. Skills: Game Design, Behavioral Psychology",Master's,5-10年,>60
1001,FinTech,Compliance Officer,Develop automated transaction monitoring rules to detect potential Anti-Money Laundering (AML) typologies.,"SQL, Risk Assessment",Chongqing,Senior,41k-50k/月,45.5,JD_1001,"Compliance Officer | FinTech | Chongqing | Level: Senior | Salary: 41k-50k/月. Develop automated transaction monitoring rules to detect potential Anti-Money Laundering (AML) typologies. Skills: SQL, Risk Assessment",Bachelor's,5-10年,45-50
1002,Manufacturing,Smart Factory Consultant,Calculate ROI and payback periods for capital investments in automation.,"Industry 4.0, Manufacturing Execution Systems (MES)",Nanjing,Director,31k-38k/月,34.5,JD_1002,"Smart Factory Consultant | Manufacturing | Nanjing | Level: Director | Salary: 31k-38k/月. Calculate ROI and payback periods for capital investments in automation. Skills: Industry 4.0, Manufacturing Execution Systems (MES)",Master's,10年以上,>60
1003,Healthcare,Clinical Trial Coordinator,Ensure rigorous compliance with Good Clinical Practice (GCP) and specific trial protocols.,"Clinical Trials, GCP, EDC Systems",Zhengzhou,Lead,23k-28k/月,25.5,JD_1003,"Clinical Trial Coordinator | Healthcare | Zhengzhou | Level: Lead | Salary: 23k-28k/月. Ensure rigorous compliance with Good Clinical Practice (GCP) and specific trial protocols. Skills: Clinical Trials, GCP, EDC Systems",High School,5-10年,45-50
1004,Gaming,Monetization Analyst,Evaluate the cannibalization effect of new cosmetic item releases.,"A/B Testing, Monetization Strategy, SQL, Data Visualization",Shanghai,Junior,18k-22k/月,20.0,JD_1004,"Monetization Analyst | Gaming | Shanghai | Level: Junior | Salary: 18k-22k/月. Evaluate the cannibalization effect of new cosmetic item releases. Skills: A/B Testing, Monetization Strategy, SQL, Data Visualization",Bachelor's,1-3年,<40
1005,FinTech,Investment Banker,Prepare comprehensive pitch books and CIMs for capital raising and private placements.,"Financial Modeling, Valuation, Excel",Zhengzhou,Manager,47k-58k/月,52.5,JD_1005,"Investment Banker | FinTech | Zhengzhou | Level: Manager | Salary: 47k-58k/月. Prepare comprehensive pitch books and CIMs for capital raising and private placements. Skills: Financial Modeling, Valuation, Excel",Master's,5-10年,40-45
1006,Education Technology,Curriculum Data Scientist,Cluster course syllabus data to identify gaps in degree program offerings.,"NLP, Machine Learning, Python, Text Mining",Suzhou,Senior,16k-19k/月,17.5,JD_1006,"Curriculum Data Scientist | Education Technology | Suzhou | Level: Senior | Salary: 16k-19k/月. Cluster course syllabus data to identify gaps in degree program offerings. Skills: NLP, Machine Learning, Python, Text Mining",Master's,5-10年,45-50
1007,Media,Visual Effects TD,Develop custom Python tools for Maya and Houdini pipelines.,"Computer Graphics, Python, Houdini/Maya",Nanjing,Junior,9k-10k/月,9.5,JD_1007,"Visual Effects TD | Media | Nanjing | Level: Junior | Salary: 9k-10k/月. Develop custom Python tools for Maya and Houdini pipelines. Skills: Computer Graphics, Python, Houdini/Maya",Master's,1-3年,45-50
1008,Manufacturing,Automation Architect,Program PLCs and HMI interfaces for continuous process manufacturing.,"PLC Programming, SCADA, Automation, Industrial Networks, System Integration",Chongqing,Junior,7k-9k/月,8.0,JD_1008,"Automation Architect | Manufacturing | Chongqing | Level: Junior | Salary: 7k-9k/月. Program PLCs and HMI interfaces for continuous process manufacturing. Skills: PLC Programming, SCADA, Automation, Industrial Networks, System Integration",Bachelor's,5-10年,45-50
1009,Retail,Shopper Insights,Design ethnographic studies to understand shopper behavior.,"Market Research, Survey Design, SPSS",Nanjing,Lead,14k-18k/月,16.0,JD_1009,"Shopper Insights | Retail | Nanjing | Level: Lead | Salary: 14k-18k/月. Design ethnographic studies to understand shopper behavior. Skills: Market Research, Survey Design, SPSS",Bachelor's,5-10年,45-50
1010,Retail,CRM Data Analyst,Calculate the incremental lift of personalized email campaigns.,"Marketing Analytics, SQL",Shenzhen,Junior,9k-11k/月,10.0,JD_1010,"CRM Data Analyst | Retail | Shenzhen | Level: Junior | Salary: 9k-11k/月. Calculate the incremental lift of personalized email campaigns. Skills: Marketing Analytics, SQL",Bachelor's,3-5年,40-45
1011,Logistics,Route Optimization Eng,Integrate real-time traffic APIs to dynamically re-route delivery fleets.,"OR-Tools, Optimization Algorithms, Python, GIS",Suzhou,Mid-level,13k-16k/月,14.5,JD_1011,"Route Optimization Eng | Logistics | Suzhou | Level: Mid-level | Salary: 13k-16k/月. Integrate real-time traffic APIs to dynamically re-route delivery fleets. Skills: OR-Tools, Optimization Algorithms, Python, GIS",Master's,5-10年,45-50
1012,Healthcare,Genomic Data Analyst,Analyze genome-wide association studies (GWAS) to identify polygenic risk scores.,"GATK, R",Shenzhen,Junior,13k-16k/月,14.5,JD_1012,"Genomic Data Analyst | Healthcare | Shenzhen | Level: Junior | Salary: 13k-16k/月. Analyze genome-wide association studies (GWAS) to identify polygenic risk scores. Skills: GATK, R",Bachelor's,0-1年,50-60
1013,Manufacturing,Robotics Programmer,Program multi-axis industrial arms for precision welding and assembly.,Robotics Programming,Hangzhou,Senior,22k-27k/月,24.5,JD_1013,Robotics Programmer | Manufacturing | Hangzhou | Level: Senior | Salary: 22k-27k/月. Program multi-axis industrial arms for precision welding and assembly. Skills: Robotics Programming,Bachelor's,3-5年,50-60
1014,Education Technology,Curriculum Data Scientist,Cluster course syllabus data to identify gaps in degree program offerings.,"NLP, Python, Text Mining",Nanjing,Senior,21k-25k/月,23.0,JD_1014,"Curriculum Data Scientist | Education Technology | Nanjing | Level: Senior | Salary: 21k-25k/月. Cluster course syllabus data to identify gaps in degree program offerings. Skills: NLP, Python, Text Mining",Bachelor's,10年以上,40-45
1015,E-Commerce,Growth Hacker,Scrape competitor pricing and promotional data to inform dynamic pricing strategies.,"Growth Marketing, SQL, Web Analytics",Suzhou,Senior,27k-33k/月,30.0,JD_1015,"Growth Hacker | E-Commerce | Suzhou | Level: Senior | Salary: 27k-33k/月. Scrape competitor pricing and promotional data to inform dynamic pricing strategies. Skills: Growth Marketing, SQL, Web Analytics",Master's,3-5年,45-50
1016,Gaming,Economy Designer,Simulate loot box drop rates to balance player progression pacing.,"Economy Modeling, Python",Chengdu,Mid-level,14k-17k/月,15.5,JD_1016,"Economy Designer | Gaming | Chengdu | Level: Mid-level | Salary: 14k-17k/月. Simulate loot box drop rates to balance player progression pacing. Skills: Economy Modeling, Python",Bachelor's,3-5年,50-60
1017,Manufacturing,Robotics Programmer,Integrate 3D vision systems with end-effectors for bin picking.,"Robotics Programming, Kinematics, C++",Wuhan,Intern,4k-5k/月,4.5,JD_1017,"Robotics Programmer | Manufacturing | Wuhan | Level: Intern | Salary: 4k-5k/月. Integrate 3D vision systems with end-effectors for bin picking. Skills: Robotics Programming, Kinematics, C++",Bachelor's,3-5年,40-45
1018,Telecom,Spectrum Manager,Prepare technical filings for spectrum auctions.,"Regulatory Compliance, Spectrum Analysis",Beijing,Senior,19k-24k/月,21.5,JD_1018,"Spectrum Manager | Telecom | Beijing | Level: Senior | Salary: 19k-24k/月. Prepare technical filings for spectrum auctions. Skills: Regulatory Compliance, Spectrum Analysis",Master's,3-5年,40-45
1019,Healthcare,Patient Privacy Officer,Investigate potential protected health information (PHI) breaches and formulate plans.,"Data Privacy, Compliance Auditing",Shanghai,Mid-level,24k-30k/月,27.0,JD_1019,"Patient Privacy Officer | Healthcare | Shanghai | Level: Mid-level | Salary: 24k-30k/月. Investigate potential protected health information (PHI) breaches and formulate plans. Skills: Data Privacy, Compliance Auditing",Bachelor's,1-3年,40-45
1020,Media,Broadcast Engineer,Configure IP routing systems for modern broadcast facilities.,"Video Routing, RF Engineering, Networking",Beijing,Lead,33k-41k/月,37.0,JD_1020,"Broadcast Engineer | Media | Beijing | Level: Lead | Salary: 33k-41k/月. Configure IP routing systems for modern broadcast facilities. Skills: Video Routing, RF Engineering, Networking",Bachelor's,5-10年,50-60
1021,Education Technology,Learning Scientist,Apply cognitive psychology principles to evaluate digital learning interventions.,"Cognitive Science, Experimental Design",Shanghai,Junior,9k-11k/月,10.0,JD_1021,"Learning Scientist | Education Technology | Shanghai | Level: Junior | Salary: 9k-11k/月. Apply cognitive psychology principles to evaluate digital learning interventions. Skills: Cognitive Science, Experimental Design",Bachelor's,1-3年,45-50
1022,Energy,HSE Compliance Lead,Conduct HAZOP (Hazard and Operability) studies for facilities.,"Health & Safety Regulations, Auditing, Environmental Comp, Data Analysis",Zhengzhou,Intern,7k-9k/月,8.0,JD_1022,"HSE Compliance Lead | Energy | Zhengzhou | Level: Intern | Salary: 7k-9k/月. Conduct HAZOP (Hazard and Operability) studies for facilities. Skills: Health & Safety Regulations, Auditing, Environmental Comp, Data Analysis",High School,0年,40-45
1023,Retail,Buying Coordinator,Communicate with vendors regarding quality and delivery issues.,"Procurement, Vendor Management, Excel, Data Entry",Suzhou,Mid-level,12k-15k/月,13.5,JD_1023,"Buying Coordinator | Retail | Suzhou | Level: Mid-level | Salary: 12k-15k/月. Communicate with vendors regarding quality and delivery issues. Skills: Procurement, Vendor Management, Excel, Data Entry",Bachelor's,3-5年,40-45
1024,Education Technology,UX Researcher (Edu),Perform heuristic evaluations on mobile learning apps to identify pain points.,"Usability Testing, HCI, Survey Design",Suzhou,Senior,22k-27k/月,24.5,JD_1024,"UX Researcher (Edu) | Education Technology | Suzhou | Level: Senior | Salary: 22k-27k/月. Perform heuristic evaluations on mobile learning apps to identify pain points. Skills: Usability Testing, HCI, Survey Design",Bachelor's,3-5年,40-45
1025,Education Technology,Student Success Analyst,Develop predictive models to identify at-risk students likely to drop out of programs.,"Predictive Modeling, SQL",Beijing,Senior,26k-32k/月,29.0,JD_1025,"Student Success Analyst | Education Technology | Beijing | Level: Senior | Salary: 26k-32k/月. Develop predictive models to identify at-risk students likely to drop out of programs. Skills: Predictive Modeling, SQL",Master's,10年以上,45-50
